text,label
في واحد حمصي سأل البائع: عندك تلفيزيونات ملونة قلو البائع في قال له الحمصي بدي واحد أزرق,joke
حمصي سأل بنتو وينك لهلق قالتلو يا بابا قالها اي هي كلها ساعة وبعدين وين رحتي.,not_joke
نكت متزوجين سافلة,not_joke
أشهر نكتة جزائرية ماذا تكون؟      واحد مدرب رياضة مجنون عينوه أصيب بالعين في مدرسة المعوقين راح درب اول حصة قفز حواجز.,not_joke
في واحد شري مكسيما ركب ولد عمه يسكن في الريف المهم اطلع هوا وياه في الطريق يسمع السواق في صوت تخبيط زاد في السرعه صاحب السياره حار دوره اتلفت لولد عمه القاه امطلع ايده ويضرب في البالاوات,joke
هذا واحد البناي شعلت فيه العفيةحتى لقا راسو ف السبيطار مجبصو هو يعيط لفرملية سولهاقليها واش انا تحرقت ولا تهرست؟؟؟قتلو لا نت تحرقتيولكن صحابك البْنايا ملي بغاو يطفيواك.طفاواك ب البالات,joke
قالك هدو 3ديال سكايرية سكرانييين، طلعوا لطاكسي مول الطاكسي عرفهم سكرانين دار أمارش لطوموبيل وسكتها وقالهم صاف را وصلتوا سكايري الاول عطاه فلوس الخلاص. سكايري التاني قاليه شكرا والثالث جمعها مع مول الطاكسي بتصرفيقة مول الطاكسي تخلع صحاب ليه هداك الثالث مسكرانش وهو يقول ليه علاش ضربتيني؟ وهو يرد عليه : المرة الجاية احترم السرعة را كنتي غتقتلنا !!!! ههههههههههههههههههههههه,joke
واحد يقول لصاحبه: شفت المرة يلي واقفة هناك؟ تضرب كل يوم زوجها بالحذاء، قاله: وكيف عرفت؟ رد: مهي زوجتي.,joke
واحد بنا دارو على شكل دائرة، باش ما تقولوش مرتو مخليني بين أربعة حيطان.,not_joke
أكثر كلمة كنت أظنها حقيقة أنا في الطفولة، أخبرنا الحقيقة و لن نفعل لك شيء.عندما أخبرهم الحقيقة، يضربون بقوة إلى أن يغما عليا و أفقد الوعي.لماذا الخيانة.,not_joke
نكت بدوية تموت من الضحك,not_joke
5- كراني طايحه كل سنونه إلا الأنياب قدم على وظيفة عينوه خرامة,joke
مَسطول ضيع أمه في السوق راح للعسكري قاله: ما شفت وحده تمشي وأنا ماني معاها.,joke
مرة فرخة انتحرت كتبت في رسالة خلي ماجي تنفعكم.,joke
استغرب و قال ياربي أكون أنا شربت المفتاح,not_joke
واحد مافحالوش مشا لقهوا لقا واحد شبعان تيكل فواحد دجاجة و مشا ريح حداه و طلب واحد طبسيل ديال لعدس بدا كيكل فيه بلا مليقول بسم الله قاليه هداك لي حداه قول بسم الله أصاحبي أولا شيطان غادي ياكل معاك و رد عليه لاخر واش شيطان حمق اخلي دجاج باش ياكل لعدس.,joke
فيه حرامي دخل على بيت حمصي مسكو الحمصي وقال له انت حرامي ولا شو رد الحرامي قال: لا أما شو قام تركه.,joke
سمكة رايحة تنام قالو لها تسبحين على خير.,not_joke
هادي واحد الطلابة قالت لواحد المعلم الله يرحم الوالدين عطيني باش نفرح الدراري قال ليها سيري قولي ليهوم راه ما كايناش القراية غدا.,joke
بدوي تعرض بيته للحريق اتصل بالمطافئ حضرت بسرعة لحين تلحق الحريق قال لها: قواعد الذوق تقول لا بد من أن تشربوا القهوة قبل أن تطفو الحريق.,joke
فيه ثنتين عجايز سهرانات على المصارعة الحرة … إلا وقامت وحده فيهم وقفلت التلفزيون .. قالت لها الثانية : ليش سويتي كذا يا وخيتي ؟ قالت لها : والله لو ما قفلته كان تذابحوا.,joke
واحد قال لصاحبو: سلفني 500 درهم الله يرحم بيها الواليدين. قال ليه صاحبو: 200 درهم اللي عندي. قال ليه لاخور: ماشي مشكل، عطيها ليا ونبقى نسالك 300 درهم.,joke
واحد دحباشي واقف في الشارع و بيتكلم في المحمول و يزعق و يقول: بس دوري ثاني مرة تأكدي ، دوري تمام جالس نصف ساعة على هذا الحال . قام واحد عدني كان يتفرج عليه و قال له: ايش فيك هات أشوف وأخذ الجوال من يده وسمع الرقم الذي طلبته غير موجود في الخدمة,joke
قالك ثمه (حاشاكم) بهيم متعدي فالغابه يلقى الصيد متكي… الصيد كشاف البهيم هرب و ولى يجري على قوة جهدو… البهيم إستغرب لحكايا كفاش الصيد خايف.. وشد جرتوو وقال اليوم نهارك يا صيد… وهوما يجريو الصيد يلقى حفرة نقز فيها البهيم لحقو و نقز حاتا هو… في وسط الحفرة البهيم يلقاها بكلها …صيودا… والصيد يقول : قلتلكم راني نجيبو خبش لا .,joke
واحد يمشي هو وصاحبه لقى قفلة قاله صاحبه: اعطهالي إذا ما تستحقهاش، قالوا: لا لا راني حاب ندبر لها سروال.,joke
قالك واحد النهار، واحد السّيد هادا يُشرب بزَاف الشَراب كل ما يدخل للدار يمشي عند لمرايا يبقى يشوف فيها ويقول : ااااااه كبرت وناضلي الشيب ، جا عندو باباه قالو : يا ولدْ قتلك ذاك العام ما توقفش عند التصويرة تاع جدك وتبقى تهدر معاه.,joke
